	word	gold	gru pred	earlyBoundary	lateBoundary	missedBoundary	addedBoundary	totalErrors
0	cappuccin	c/1 a/0 p/0 p/1 u/0 c/0 c/1 i/0 n/1 o/0	c/1 a/0 p/0 p/1 u/0 c/0 c/1 i/0 N/0 o/0	0	0	1	0	1
1	forgiveness	f/1 o/0 r/0 g/1 i/0 v/0 e/0 n/1 e/0 s/0 s/0	f/1 o/0 r/0 g/1 i/0 v/0 E/1 N/0 e/0 s/0 s/0	1	0	0	0	1
2	awhide	r/1 a/0 w/0 h/1 i/0 d/0 e/0	/1 a/0 w/0 H/0 i/0 d/0 e/0	0	0	1	0	1
3	curvature	c/1 u/0 r/0 v/1 a/0 t/1 u/0 r/0 e/0	c/1 u/0 r/0 V/0 A/1 t/1 u/0 r/0 e/0	0	1	0	0	1
4	bandicoot	b/1 a/0 n/0 d/1 i/0 c/1 o/0 o/0 t/0	b/1 a/0 n/0 D/0 I/1 c/1 o/0 o/0 t/0	0	1	0	0	1
5	centenary	c/1 e/0 n/0 t/1 e/0 n/1 a/0 r/0 y/1	c/1 e/0 n/0 t/1 e/0 N/0 a/0 r/0 y/1	0	0	1	0	1
6	eference	/1 e/0 f/0 e/1 r/0 e/1 n/0 c/0 e/0	/1 e/0 F/1 E/0 r/0 e/1 n/0 c/0 e/0	1	0	0	0	1
7	ental	r/1 e/0 n/0 t/0 a/1 l/0	/1 e/0 n/0 T/1 A/0 l/0	1	0	0	0	1
8	mains	m/1 a/0 i/0 n/0 s/0	m/1 a/0 i/0 n/0 S/1	0	0	0	1	1
9	salvia	s/1 a/0 l/0 v/1 i/0 a/1	s/1 a/0 l/0 V/0 i/0 A/0	0	0	2	0	2
10	cosmology	c/1 o/0 s/0 m/1 o/0 l/0 o/1 g/1 y/0	c/1 o/0 s/0 m/1 o/0 L/1 o/1 g/1 y/0	0	0	0	1	1
11	placenta	p/1 l/0 a/0 c/1 e/0 n/0 t/1 a/0	p/1 l/0 a/0 C/0 e/0 n/0 T/0 a/0	0	0	2	0	2
12	pollute	p/1 o/0 l/0 l/1 u/0 t/0 e/0	p/1 o/0 l/0 l/1 u/0 T/1 e/0	0	0	0	1	1
13	polarizing	p/1 o/0 l/1 a/0 r/0 i/1 z/0 i/1 n/0 g/0	p/1 o/0 L/0 a/0 r/0 i/1 z/0 i/1 n/0 g/0	0	0	1	0	1
14	speedomete	s/1 p/0 e/0 e/0 d/0 o/1 m/0 e/1 t/1 e/0 r/0	s/1 p/0 e/0 e/0 d/0 o/1 m/0 E/0 t/1 e/0 r/0	0	1	0	0	1
15	eleven	e/1 l/1 e/0 v/0 e/1 n/0	/1 l/1 e/0 V/1 E/0 n/0	1	0	0	0	1
16	nave	n/1 a/0 v/0 e/0	n/1 a/0 V/1 e/0	0	0	0	1	1
17	crotch	c/1 r/0 o/0 t/0 c/0 h/0	c/1 r/0 o/0 T/1 c/0 h/0	0	0	0	1	1
18	intercity	i/1 n/0 t/1 e/0 r/0 c/1 i/0 t/0 y/1	i/1 n/0 t/1 e/0 r/0 c/1 i/0 t/0 Y/0	0	0	1	0	1
19	urban	u/1 r/0 b/1 a/0 n/0	u/1 R/1 B/0 a/0 n/0	1	0	0	0	1
20	endemic	e/1 n/0 d/0 e/0 m/0 i/0 c/0	/1 n/0 D/1 e/0 m/0 I/1 c/0	0	0	0	2	2
