	item	gold	elman	earlyBoundary	lateBoundary	missedBoundary	addedBoundary	totalErrors
0	budgetary	b/1 u/0 d/0 g/0 e/1 t/0 a/1 r/0 y/1	b/1 u/0 d/0 g/0 E/0 t/0 A/0 r/0 y/1	0	0	2	0	2
1	phosphorylate	p/1 h/0 o/0 s/0 p/1 h/0 o/0 r/1 y/0 l/0 a/1 t/0 e/1 d/0	p/1 h/0 o/0 s/0 p/1 h/0 o/0 R/0 y/0 l/0 a/1 T/1 E/0 d/0	1	0	1	0	2
2	auxiliary	a/1 u/0 x/0 i/1 l/0 i/1 a/0 r/1 y/0	a/1 u/0 x/0 i/1 l/0 i/1 a/0 R/0 y/0	0	0	1	0	1
3	nanomete	n/1 a/0 n/1 o/0 m/1 e/0 t/1 e/0 r/0	n/1 a/0 N/0 O/1 m/1 e/0 t/1 e/0 r/0	0	1	0	0	1
4	monotonous	m/1 o/0 n/1 o/0 t/0 o/1 n/1 o/0 u/0 s/0	m/1 o/0 N/0 O/1 T/1 O/0 N/0 O/1 u/0 s/0	1	2	0	0	3
5	covers	c/1 o/0 v/1 e/0 r/0 s/0	c/1 o/0 V/0 E/1 r/0 S/1	0	1	0	1	2
6	eservoi	r/1 e/0 s/0 e/1 r/0 v/1 o/0 i/0 r/0	/1 e/0 S/1 E/0 r/0 V/0 O/1 i/0 r/0	1	1	0	0	2
7	copolyme	c/1 o/0 p/1 o/0 l/0 y/1 m/1 e/0 r/0	c/1 o/0 P/0 O/1 l/0 Y/0 m/1 e/0 r/0	0	2	0	0	2
8	homogenous	h/1 o/0 m/1 o/0 g/0 e/1 n/1 o/0 u/0 s/0	h/1 o/0 M/0 o/0 G/1 E/0 N/0 o/0 u/0 s/0	1	0	2	0	3
9	unusable	u/1 n/0 u/1 s/0 a/1 b/1 l/0 e/0	u/1 n/0 u/1 s/0 A/0 b/1 l/0 e/0	0	1	0	0	1
10	booby	b/1 o/0 o/0 b/1 y/0	b/1 o/0 o/0 B/0 y/0	0	0	1	0	1
11	evelope	/1 e/0 v/1 e/0 l/0 o/1 p/0 e/1 r/0	/1 e/0 v/1 e/0 l/0 o/1 p/0 E/0 r/0	0	0	1	0	1
12	ka	k/1 a/0 r/1 o/0 o/0	k/1 a/0 R/0 o/0 o/0	0	0	1	0	1
13	folic	f/1 o/0 l/1 i/0 c/0	f/1 o/0 L/0 i/0 c/0	0	0	1	0	1
14	licensing	/1 i/0 c/1 e/0 n/0 s/0 i/1 n/0 g/0	l/1 i/0 C/0 e/0 n/0 S/1 I/0 n/0 g/0	1	0	1	0	2
15	noticing	n/1 o/0 t/1 i/0 c/0 i/1 n/0 g/0	n/1 o/0 t/1 i/0 c/0 I/0 n/0 g/0	0	0	1	0	1
16	hypocrite	h/1 y/0 p/0 o/1 c/1 r/0 i/0 t/0 e/0	h/1 y/0 P/1 O/0 c/1 r/0 i/0 T/1 e/0	1	0	0	1	2
17	bandits	b/1 a/0 n/0 d/1 i/0 t/0 s/0	b/1 a/0 n/0 D/0 I/1 T/1 s/0	0	1	0	1	2
18	saviou	s/1 a/0 v/0 i/1 o/0 u/0 r/0	s/1 a/0 v/0 i/1 O/1 u/0 r/0	0	0	0	1	1
19	aders	w/1 a/0 d/0 e/1 r/0 s/0	w/1 a/0 d/0 E/0 r/0 S/1	0	0	1	0	1
20	frontie	f/1 r/0 o/0 n/0 t/1 i/0 e/0 r/0	f/1 r/0 o/0 n/0 T/0 i/0 e/0 r/0	0	0	1	0	1
21	anticoagulant	a/1 n/0 t/1 i/0 c/1 o/0 a/1 g/0 u/1 l/1 a/0 n/0 t/0	a/1 n/0 t/1 i/0 C/0 O/1 A/0 g/0 U/0 l/1 a/0 n/0 t/0	1	2	0	0	3
22	uniformity	u/1 n/1 i/0 f/1 o/0 r/0 m/0 i/1 t/1 y/0	u/1 N/0 i/0 f/1 o/0 r/0 m/0 i/1 t/1 y/0	1	0	0	0	1
