	item	gold	gru	elman
0	budgetary	b/1 u/0 d/0 g/0 e/1 t/0 a/1 r/0 y/1	b/1 u/0 d/0 G/1 E/0 T/1 A/0 r/0 y/1	b/1 u/0 d/0 g/0 E/0 t/0 A/0 r/0 y/1
4	phosphorylate	p/1 h/0 o/0 s/0 p/1 h/0 o/0 r/1 y/0 l/0 a/1 t/0 e/1 d/0	p/1 h/0 o/0 s/0 p/1 h/0 o/0 r/1 Y/1 L/1 a/1 t/0 e/1 d/0	p/1 h/0 o/0 s/0 p/1 h/0 o/0 R/0 y/0 l/0 a/1 T/1 E/0 d/0
5	auxiliary	a/1 u/0 x/0 i/1 l/0 i/1 a/0 r/1 y/0	a/1 u/0 x/0 i/1 l/0 i/1 A/1 R/0 Y/1	a/1 u/0 x/0 i/1 l/0 i/1 a/0 R/0 y/0
7	nanomete	n/1 a/0 n/1 o/0 m/1 e/0 t/1 e/0 r/0	n/1 a/0 n/1 o/0 M/0 E/1 t/1 e/0 r/0	n/1 a/0 N/0 O/1 m/1 e/0 t/1 e/0 r/0
8	monotonous	m/1 o/0 n/1 o/0 t/0 o/1 n/1 o/0 u/0 s/0	m/1 o/0 n/1 O/1 T/1 O/0 n/1 o/0 u/0 s/0	m/1 o/0 N/0 O/1 T/1 O/0 N/0 O/1 u/0 s/0
12	covers	c/1 o/0 v/1 e/0 r/0 s/0	c/1 o/0 V/0 E/1 r/0 s/0	c/1 o/0 V/0 E/1 r/0 S/1
14	eservoi	r/1 e/0 s/0 e/1 r/0 v/1 o/0 i/0 r/0	/1 e/0 S/1 E/0 r/0 v/1 o/0 i/0 r/0	/1 e/0 S/1 E/0 r/0 V/0 O/1 i/0 r/0
16	copolyme	c/1 o/0 p/1 o/0 l/0 y/1 m/1 e/0 r/0	c/1 o/0 P/0 O/1 L/1 Y/0 m/1 e/0 r/0	c/1 o/0 P/0 O/1 l/0 Y/0 m/1 e/0 r/0
17	homogenous	h/1 o/0 m/1 o/0 g/0 e/1 n/1 o/0 u/0 s/0	h/1 o/0 m/1 o/0 G/1 E/0 n/1 o/0 u/0 s/0	h/1 o/0 M/0 o/0 G/1 E/0 N/0 o/0 u/0 s/0
18	unusable	u/1 n/0 u/1 s/0 a/1 b/1 l/0 e/0	u/1 n/0 u/1 S/1 A/0 b/1 l/0 e/0	u/1 n/0 u/1 s/0 A/0 b/1 l/0 e/0
20	booby	b/1 o/0 o/0 b/1 y/0	b/1 o/0 o/0 b/1 Y/1	b/1 o/0 o/0 B/0 y/0
22	evelope	/1 e/0 v/1 e/0 l/0 o/1 p/0 e/1 r/0	/1 e/0 V/0 E/1 l/0 o/1 p/0 e/1 r/0	/1 e/0 v/1 e/0 l/0 o/1 p/0 E/0 r/0
23	ka	k/1 a/0 r/1 o/0 o/0	k/1 a/0 r/1 o/0 O/1	k/1 a/0 R/0 o/0 o/0
24	folic	f/1 o/0 l/1 i/0 c/0	f/1 o/0 L/0 I/1 c/0	f/1 o/0 L/0 i/0 c/0
25	licensing	/1 i/0 c/1 e/0 n/0 s/0 i/1 n/0 g/0	l/1 i/0 c/1 e/0 n/0 S/1 I/0 n/0 g/0	l/1 i/0 C/0 e/0 n/0 S/1 I/0 n/0 g/0
26	noticing	n/1 o/0 t/1 i/0 c/0 i/1 n/0 g/0	n/1 o/0 t/1 I/1 c/0 i/1 n/0 g/0	n/1 o/0 t/1 i/0 c/0 I/0 n/0 g/0
28	hypocrite	h/1 y/0 p/0 o/1 c/1 r/0 i/0 t/0 e/0	h/1 y/0 P/1 o/1 c/1 r/0 i/0 t/0 e/0	h/1 y/0 P/1 O/0 c/1 r/0 i/0 T/1 e/0
30	bandits	b/1 a/0 n/0 d/1 i/0 t/0 s/0	b/1 a/0 n/0 D/0 I/1 t/0 s/0	b/1 a/0 n/0 D/0 I/1 T/1 s/0
32	saviou	s/1 a/0 v/0 i/1 o/0 u/0 r/0	s/1 a/0 V/1 I/0 o/0 u/0 r/0	s/1 a/0 v/0 i/1 O/1 u/0 r/0
33	aders	w/1 a/0 d/0 e/1 r/0 s/0	w/1 a/0 D/1 E/0 r/0 s/0	w/1 a/0 d/0 E/0 r/0 S/1
34	frontie	f/1 r/0 o/0 n/0 t/1 i/0 e/0 r/0	f/1 r/0 o/0 n/0 t/1 i/0 E/1 r/0	f/1 r/0 o/0 n/0 T/0 i/0 e/0 r/0
36	anticoagulant	a/1 n/0 t/1 i/0 c/1 o/0 a/1 g/0 u/1 l/1 a/0 n/0 t/0	a/1 n/0 t/1 i/0 c/1 o/0 A/0 g/0 u/1 l/1 a/0 n/0 t/0	a/1 n/0 t/1 i/0 C/0 O/1 A/0 g/0 U/0 l/1 a/0 n/0 t/0
